Reference, Quantity, Value, Footprint, Datasheet, Notes
A1 ,1,"LM301A","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf"
C3 ,1,"330pF","","~","ceramic"
C4 ,1,"10nF","","~","ceramic"
C5 ,1,"1nF","","~","ceramic"
C1 C2 C6 C7 ,4,"1uF 35V","","~","tantal"
CR1 CR2 CR3 CR4 CR5 CR6 CR7 CR8 ,8,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
J1 ,1,"TRIGGER INPUT","","~"
J10 ,1,"DECAY/SUSTAIN","","~"
J11 ,1,"RELEASE","","~"
J2 ,1,"GATE INPUT","","~"
J3 ,1,"NEGATIVE SUPPLY","","~"
J4 J7 ,2,"GROUND","","~"
J5 ,1,"POSITIVE SUPPLY","","~"
J6 ,1,"ADSR OUTPUT","","~"
J8 J9 ,2,"ATTACK","","~"
Q2 Q7 Q8 ,3,"2N5172","","~"
Q3 ,1,"2SK30","","~","Orig: LS4302"
Q4 ,1,"2N5460","","~"
Q1 Q5 ,2,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Orig: TZ5(?)81"
Q6 ,1,"2N5367 or 2N3906","","~"
R1 ,1,"270k","","~"
R10 ,1,"120R","","~"
R11 ,1,"40.2k 1%","","~"
R12 ,1,"1k","","~"
R13 ,1,"68.1k 1%","","~"
R14 ,1,"100k","","~"
R15 ,1,"4.7k","","~"
R16 ,1,"39k","","~"
R18 ,1,"470k","","~"
R17 R19 ,2,"68k","","~"
R2 ,1,"22k","","~"
R20 ,1,"120k","","~"
R23 ,1,"12k","","~"
R24 ,1,"1.5k","","~"
R3 ,1,"1.2M","","~"
R4 R22 ,2,"180k","","~"
R5 ,1,"15k","","~"
R6 R9 ,2,"1M","","~"
R7 ,1,"10k","","~"
R8 ,1,"33k","","~"
