Reference, Quantity, Value, Footprint, Datasheet, Notes
C1 C2 C3 C4 ,4,"4700pF","","~","plastic caps"
C5 ,1,"0.01uF","","~","ceramic"
C7 C8 C9 C10 C11 ,5,"1uF 35V","","~","chemical or tantal; orig 10uF"
CR1 ,1,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
J1 ,1,"NON-INVERTING INPUT","","~"
J10 ,1,"GAIN TRIM","","~"
J14 J18 ,2,"CVR TRIM","","~"
J2 ,1,"INVERTING INPUT","","~"
J3 J9 ,2,"Fc CONTROL INPUT","","~"
J5 ,1,"OUTPUT","","~"
J6 ,1,"POSITIVE SUPPLY","","~"
J7 ,1,"GROUND","","~"
J8 ,1,"NEGATIVE SUPPLY","","~"
Q13 ,1,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
Q14 Q15 Q16 Q17 ,4,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 ,10,"2N5087","","~"
R1 R6 R11 R16 R21 R22 R23 ,7,"12.1k 1%","","~"
R2 R7 R12 R17 R36 ,5,"2.2k","","~","orig 4.7k lesser cut-off range"
R24 ,1,"56k","","~"
RV1 R25 R26 ,3,"100k","","~"
R27 ,1,"270k","","~"
R28 ,1,"1.87k tempco +3500ppm/k 1W 3%","","~","https://www.thonk.co.uk/shop/tempco-resistor-krl-bantry-3500ppm-x2/"
R29 ,1,"196k 1%","","~"
R3 R4 R8 R9 R13 R14 R18 R19 R35 ,9,"220R","","~"
R30 ,1,"39k","","~"
R31 ,1,"4.7k","","~"
R32 R33 R37 ,3,"10k","","~"
R34 ,1,"100R","","~"
R38 ,1,"220k","","~"
R39 ,1,"1.3k","","~"
R40 R41 R44 ,3,"13k 1%","","~"
R42 R43 ,2,"100k 1%","","~"
R45 ,1,"1k","","~"
R5 R10 R15 R20 ,4,"22M 1%","","~"
Z1 ,1,"LM3900","",""
Z2 ,1,"LM1458","","http://www.ti.com/lit/ds/symlink/lm358.pdf"
