Reference, Quantity, Value, Footprint, Datasheet, Notes
C34 C35 C36 C37 C38 C39 ,6,"1uF 35v","","~","electrolytic"
C40 C41 C42 ,3,"0.015uF 10% plastic","","~","plastic"
C43 C44 ,2,"3.3pF 10%","","~","ceramic"
D7 D8 D9 ,3,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
E13 E14 E15 E16 E17 E18 E19 E20 E21 E22 E23 E24 E25 E26 E27 E28 E29 E30 E31 E32 E33 ,21,"PJ301BM","","https://www.thonk.co.uk/shop/3-5mm-jacks/"
JPWR11 JPWR21 JPWR31 ,3,"POSITIVE SUPPLY","","~"
JPWR12 TVCO1-7 JPWR22 TVCO2-7 JPWR32 TVCO3-7 TVBD21-5 ,7,"GND","","~"
JPWR13 JPWR23 JPWR33 ,3,"NEGATIVE SUPPLY","","~"
R53 R58 R71 R75 R94 R100 R105 R107 R109 ,9,"220k","","~"
R111 ,1,"15k","","~"
R18 R41 R42 R52 R64 R66 R68 R70 R82 R83 R85 R87 R92 ,13,"100k LIN","","~"
R43 R65 R84 ,3,"150k 1%","","~"
R44 R67 R86 ,3,"3.3M","","~"
R45 ,1,"6.8k","","~"
R46 R47 ,2,"33k","","~"
R48 ,1,"8.2k","","~"
R49 R50 R104 R106 R108 R110 ,6,"1k","","~"
R51 R89 ,2,"3.9k","","~"
R56 R72 R95 ,3,"84.5k 1%","","~"
R57 R74 R98 ,3,"100k 1%","","~"
R59 R76 R101 ,3,"470k","","~"
R60 R78 R97 ,3,"25k LIN","","~"
R61 R62 R63 R79 R80 R81 R99 R102 R103 ,9,"100k LOG","","~"
R77 ,1,"120k","","~"
R88 ,1,"1M","","~"
R90 ,1,"30.1k 1%","","~"
R91 ,1,"45.3k 1%","","~"
CV-1 CV-2 CV-3 S15 T15 T16 T17 T18 T19 S22 T22 T23 T24 T25 T26 T27 S29 T29 T30 T31 T32 ,21,"~","","~"
S4 S5 S6 ,3,"AUD/LF","",""
T13 ,1,"OVPP","","~"
T14 ,1,"RING MOD","","~"
T20 ,1,"VCF","","~"
T33 T33-1 ,2,"VCO 3","","~"
TVBD21-1 ,1,"PULSE WIDTH","","~"
TVBD21-2 ,1,"SAWTOOTH IN","","~"
TVBD21-3 ,1,"PULSE OUT","","~"
TVBD21-7 ,1,"PWM IN","","~"
TVBD21-8 ,1,"SIN OUT","","~"
TVBD21-9 ,1,"TRIANGLE OUT","","~"
TVCO1-18 TVCO2-18 TVCO3-18 ,3,"L.F. CAP","","~"
TVCO1-19 TVCO2-19 TVCO3-19 ,3,"TRIM INPUT","","~"
TVCO1-2 TVCO2-2 TVCO3-2 ,3,"CONT. INPUT","","~"
TVCO1-5 TVCO2-5 TVCO3-5 ,3,"SAW. OUT","","~"
TVCO1-6 TVCO2-6 TVCO3-6 TVBD21-4 ,4,"+15V","","~"
TVCO1-8 TVCO2-8 TVCO3-8 TVBD21-6 ,4,"-15V","","~"
Z8 Z9 ,2,"LM301","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf"
