Reference, Quantity, Value, Footprint, Datasheet, Notes
A25 A26 A27 A28 A29 A30 A31 ,7,"LM301","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf"
C100 C104 ,2,"20pF","","~"," "
C8 ,1,"330pF","","~","ceramic"
C80 C90 ,2,"100pF","","~","ceramic"
C9 C81 C91 C93 C95 C98 ,6,"30pF","","~","ceramic"
C83 C84 C86 ,3,"10pF","","~"
C89 ,1,"0.01uF","","~"
C94 ,1,"100nF","","~","plastic"
C96 ,1,"10nF","","~","plastic"
C82 C85 C92 C97 C99 ,5,"50pF","","~","ceramic"
D40 D41 ,2,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
J1 J-A-1 J-B-1 J-C-1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 ,20,"~","","~"
Q25 Q27 ,2,"2N5127","","~"
Q26 ,1,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
R258 ,1,"47k","","~"
R261 R265 R266 ,3,"68k","","~"
R269 ,1,"180k","","~"
R255 R256 R262 R272 R273 R285 R290 R292 ,8,"100k","","~"
R274 R295 ,2,"1k","","~"
R275 ,1,"10k","","~"
R260 R267 R268 R276 ,4,"220k","","~"
R279 ,1,"470R","","~"
R280 R282 ,2,"10R","","~"
R281 ,1,"100R 1/2W","","~"
R287 ,1,"22k","","~"
R288 R289 ,2,"2.2M","","~"
R283 R291 R293 ,3,"470k","","~"
