Reference, Quantity, Value, Footprint, Datasheet
C85 ,1,"100nF","","~"
C86 ,1,"2nF","","~"
E70 E71 E72 E73 E74 E75 E76 E77 E78 E79 E80 E81 E82 E83 E84 E85 E86 E87 ,18,"PJ301BM","","https://www.thonk.co.uk/shop/3-5mm-jacks/"
J51-3 J51-4 J51-5 J51-6 J51-7 J51-8 J51-10 J51-11 J51-12 J51-13 J51-14 J51-15 J51-17 J51-18 J51-19 J51-21 J51-22 J51-23 J51-24 J51-25 J51-26 ,21,"~","","~"
J51-20 ,1,"S/H LEVEL","","~"
JOUT-1 JOUT-2 ,2,"from left/r preamp board 4(?)","","~"
JXX-1 ,1,"FROM NOISE GEN","","~"
R300 R302 R315 ,3,"100k LOG","","~"
R305 R306 R307 R308 R310 R311 R316 ,7,"100k 1%","","~"
R312 ,1,"1M LOG","","~"
R301 R303 R304 R309 R313 R314 ,6,"100k LIN","","~"
R317 R319 ,2,"5.36k 1%","","~"
R318 R320 ,2,"15k 1%","","~"
R321 ,1,"22k","","~"
